Botes,Hora de lanzamiento al mar,Capacidad,Contenido Real,Lado,Personal de Asistencia,Hora de Recogida (RMS Carpathia)
Bote 1,1:05,40,12,Estribor,"Murdoch, Lowe	",4:45
Bote 2,1:45,40,18,Babor,"Wilde, Smith",4:10
Bote 3,0:55,65,32,Estribor,"Murdoch, Lowe",7:30
Bote 4,1:50,65,30,Babor,Lightoller,8:00
Bote 5,0:43,65,35,Estribor,"Murdoch, Lowe, Pitman",6:00
Bote 6,1:10,65,24,Babor,"Lightoller, Smith",8:00
Bote 7,0:40,65,28,Estribor,"Murdoch, Lowe",6:15
Bote 8,1:00,65,28,Babor,"Lightoller, Wilde, Smith",7:30
Bote 9,1:30,65,42,Estribor,"Murdoch, Moody",6:15
Bote 10,1:50,65,34,Babor,Murdoch,8:00
Bote 11,1:35,65,55,Estribor,Murdoch,7:00
Bote 12,1:30,65,40,Babor,"Wilde, Lightoller",8:15
Bote 13,1:40,65,64,Estribor,"Murdoch, Moody",6:30
Bote 14,1:25,65,40,Babor,"Lowe, Wilde, Lightoller",7:15
Bote 15,1:40,65,65,Estribor,"Murdoch, Moody",7:30
Bote 16,1:20,65,40,Babor,Moody,6:45
Bote A,2:15,47,20,Estribor,"Murdoch, Moody",Abandonado a la deriva antes de 4:10
Bote B,2:15,47,30,Babor,Lightoller,Abandonado a la deriva antes de 4:10
Bote C,2:00,47,40,Estribor,"Murdoch, Wilde",5:45
Bote D,2:05,47,24,Babor,"Lightoller, Wilde",7:15
